Domain,Response Code,DNS Server,DNS Resolved Ips,DNS IP Response Codes,Traceroute to domain,Number of hops to domain,AARC DNS Ips,Optus DNS Ips,Google DNS Ips,Cloudflare DNS Ips,AARC DNS Response Codes,Optus DNS Response Codes,Google DNS Response Codes,Cloudflare DNS Response Codes,
http://nocensor.surf/,HTTPSConnectionPool(host='nocensor.surf'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLError(1; '[SSL: WRONG_VERSION_NUMBER] wrong version number (_ssl.c:1076)'))),['72.52.178.23'],,11,['10.126.192.3'; '10.10.254.61'; '10.127.1.4'; '137.111.189.12'; '202.158.194.121'; '64.125.193.129'; '64.125.29.0'; '208.115.136.138'; '209.59.157.156'; '209.59.157.223'; '72.52.178.23'],[('192.168.43.194'; []); ('8.8.8.8'; ['72.52.178.23']); ('1.1.1.1'; ['72.52.178.23'])],,,,,,,,,
https://nocensor.casa/,"HTTPSConnectionPool(host='nocensor.casa'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(""hostname 'nocensor.casa' doesn't match either of '*.parkingcrew.net'; 'parkingcrew.net'"")))",['185.53.177.73'],,22,['10.126.192.3'; '10.10.254.61'; '10.127.1.5'; '113.197.15.143'; '198.104.202.61'; '202.158.194.121'; '154.54.11.9'; '154.54.2.198'; '154.54.41.146'; '154.54.5.90'; '154.54.42.166'; '154.54.6.222'; '154.54.31.226'; '154.54.41.206'; '154.54.44.161'; '154.54.77.245'; '130.117.0.122'; '154.54.36.54'; '154.54.56.222'; '154.25.8.22'; '185.53.177.73'; '149.6.156.195'],[('192.168.43.194'; []); ('8.8.8.8'; ['185.53.177.73']); ('1.1.1.1'; ['185.53.177.73'])],,,,,,,,,
http://nocensor.fun/,200,['103.224.182.208'],,12,['10.10.254.61'; '10.127.1.5'; '137.111.189.12'; '10.126.192.2'; '138.44.5.105'; '113.197.15.5'; '113.197.15.153'; '202.158.194.173'; '64.124.200.233'; '128.177.170.94'; '103.224.213.253'; '103.224.182.208'],[('192.168.43.194'; []); ('8.8.8.8'; ['103.224.182.208']); ('1.1.1.1'; ['103.224.182.208'])],,,,,,,,,
http://nocensor.surf/,HTTPSConnectionPool(host='nocensor.surf'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLError(1; '[SSL: WRONG_VERSION_NUMBER] wrong version number (_ssl.c:1076)'))),['72.52.178.23'],,13,['10.10.254.61'; '10.127.1.4'; '137.111.189.12'; '113.197.15.143'; '10.126.192.3'; '138.44.5.105'; '202.158.194.121'; '64.125.193.129'; '64.125.29.104'; '208.115.136.138'; '209.59.157.156'; '209.59.157.243'; '72.52.178.23'],[('10.127.5.17'; ['72.52.178.23']); ('192.168.43.194'; []); ('8.8.8.8'; ['72.52.178.23']); ('1.1.1.1'; ['72.52.178.23'])],,,,,,,,,
https://nocensor.casa/,"HTTPSConnectionPool(host='nocensor.casa'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(""hostname 'nocensor.casa' doesn't match either of '*.parkingcrew.net'; 'parkingcrew.net'"")))",['185.53.177.73'],,23,['10.126.192.3'; '10.10.254.61'; '10.127.1.5'; '138.44.5.105'; '113.197.15.143'; '202.158.194.121'; '198.104.202.61'; '154.54.11.9'; '154.54.89.102'; '154.54.42.98'; '154.54.31.90'; '154.54.44.170'; '154.54.7.130'; '154.54.31.234'; '154.54.42.90'; '154.54.44.165'; '154.54.58.70'; '154.54.36.254'; '154.54.56.230'; '149.6.156.195'; '154.25.8.22'; '185.53.177.73'; '130.117.0.142'],[('10.127.5.17'; ['185.53.177.73']); ('192.168.43.194'; []); ('8.8.8.8'; ['185.53.177.73']); ('1.1.1.1'; ['185.53.177.73'])],,,,,,,,,
http://nocensor.fun/,200,['103.224.182.208'],,9,['10.126.192.2'; '10.10.254.61'; '10.127.1.5'; '113.197.15.153'; '64.124.200.233'; '202.158.194.173'; '128.177.170.94'; '103.224.213.253'; '103.224.182.208'],[('10.127.5.17'; ['103.224.182.208']); ('192.168.43.194'; []); ('8.8.8.8'; ['103.224.182.208']); ('1.1.1.1'; ['103.224.182.208'])],,,,,,,,,
http://unblockproject.pw/,HTTPSConnectionPool(host='unblockproject.pw'; port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x000001577FC633C8>: Failed to establish a new connection: [WinError 10060] A connection attempt failed because the connected party did not properly respond after a period of time; or established connection failed because connected host has failed to respond')),['162.210.199.65'],,14,['10.126.192.3'; '10.127.1.7'; '138.44.5.105'; '113.197.15.5'; '10.10.254.61'; '202.158.194.173'; '64.124.200.233'; '64.125.29.52'; '64.125.30.74'; '64.125.30.53'; '64.125.43.50'; '173.208.126.33'; '173.208.126.200'; '162.210.199.65'],[('10.127.5.17'; ['162.210.199.65']); ('192.168.43.194'; []); ('8.8.8.8'; ['5.79.68.109']); ('1.1.1.1'; ['162.210.195.122'])],,,,,,,,,
https://unblockproject.icu/,HTTPSConnectionPool(host='unblockproject.icu'; port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x000001577FC32148>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed')),[Errno 11001] getaddrinfo failed,,1,['[Errno 11001] getaddrinfo failed'],[('10.127.5.17'; []); ('192.168.43.194'; []); ('8.8.8.8'; []); ('1.1.1.1'; [])],,,,,,,,,
https://unblockproject.info/,HTTPSConnectionPool(host='unblockproject.info'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLError(1; '[SSL: WRONG_VERSION_NUMBER] wrong version number (_ssl.c:1076)'))),['67.227.226.240'],,3,['10.126.192.2'; '10.10.254.61'; '10.127.1.7'],[('10.127.5.17'; ['67.227.226.240']); ('192.168.43.194'; []); ('8.8.8.8'; ['67.227.226.240']); ('1.1.1.1'; ['67.227.226.240'])],,,,,,,,,
http://123unblock.space/,"HTTPSConnectionPool(host='123unblock.space'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(""hostname '123unblock.space' doesn't match either of '*.parkingcrew.net'; 'parkingcrew.net'"")))",['185.53.177.13'],,3,['10.126.192.3'; '10.10.254.61'; '10.127.1.7'],[('10.127.5.17'; ['185.53.177.13']); ('192.168.43.194'; []); ('8.8.8.8'; ['185.53.177.13']); ('1.1.1.1'; ['185.53.177.13'])],,,,,,,,,
https://123unblock.fun/,200,['103.224.182.250'],,9,['10.126.192.2'; '10.10.254.61'; '10.127.1.5'; '113.197.15.153'; '202.158.194.173'; '64.124.200.233'; '128.177.170.94'; '103.224.213.253'; '103.224.182.250'],[('10.127.5.17'; ['103.224.182.250']); ('192.168.43.194'; []); ('8.8.8.8'; ['103.224.182.250']); ('1.1.1.1'; ['103.224.182.250'])],,,,,,,,,
http://unbl0ck.online/,HTTPSConnectionPool(host='unbl0ck.online'; port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x000001577FC8A788>: Failed to establish a new connection: [WinError 10060] A connection attempt failed because the connected party did not properly respond after a period of time; or established connection failed because connected host has failed to respond')),['96.47.230.68'],,14,['10.126.192.2'; '10.10.254.61'; '10.127.1.5'; '113.197.15.233'; '113.197.15.235'; '202.126.129.213'; '202.84.219.174'; '202.84.225.238'; '202.84.219.174'; '89.149.132.114'; '77.67.71.146'; '96.47.230.68'; '183.182.80.169'; '96.47.230.68'],[('10.127.5.17'; ['96.47.230.68']); ('192.168.43.194'; []); ('8.8.8.8'; ['37.48.65.153']); ('1.1.1.1'; ['185.107.56.54'])],,,,,,,,,
http://123unblock.icu/,HTTPSConnectionPool(host='123unblock.icu'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLError(1; '[SSL: TLSV1_ALERT_INTERNAL_ERROR] tlsv1 alert internal error (_ssl.c:1076)'))),['199.59.242.153'],,3,['10.126.192.3'; '10.10.254.61'; '10.127.1.7'],[('10.127.5.17'; ['199.59.242.153']); ('192.168.43.194'; []); ('8.8.8.8'; ['199.59.242.153']); ('1.1.1.1'; ['199.59.242.153'])],,,,,,,,,
http://prox4you.club/,HTTPSConnectionPool(host='prox4you.club'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLError(1; '[SSL: WRONG_VERSION_NUMBER] wrong version number (_ssl.c:1076)'))),['72.52.178.23'],,11,['10.127.1.4'; '137.111.189.12'; '10.126.192.3'; '10.10.254.61'; '64.125.193.129'; '64.125.29.0'; '208.115.136.138'; '209.59.157.223'; '72.52.178.23'; '209.59.157.156'; '72.52.178.23'],[('10.127.5.17'; ['72.52.178.23']); ('192.168.43.194'; []); ('8.8.8.8'; ['72.52.178.23']); ('1.1.1.1'; ['72.52.178.23'])],,,,,,,,,
https://prox4you.pro/,HTTPSConnectionPool(host='prox4you.pro'; port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x000001577FC69F48>: Failed to establish a new connection: [WinError 10060] A connection attempt failed because the connected party did not properly respond after a period of time; or established connection failed because connected host has failed to respond')),['185.107.56.200'],,10,['10.126.192.2'; '10.10.254.61'; '10.127.1.5'; '113.197.15.143'; '202.158.194.177'; '198.32.176.70'; '185.107.56.200'; '195.22.209.209'; '149.3.181.153'; '185.107.56.200'],[('10.127.5.17'; ['185.107.56.200']); ('192.168.43.194'; []); ('8.8.8.8'; ['207.244.67.215']); ('1.1.1.1'; ['37.48.65.148'])],,,,,,,,,
http://prox4you.info/,HTTPSConnectionPool(host='prox4you.info'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLError(1; '[SSL: WRONG_VERSION_NUMBER] wrong version number (_ssl.c:1076)'))),['67.227.226.240'],,13,['10.10.254.61'; '10.127.1.7'; '10.126.192.2'; '137.111.189.12'; '138.44.5.105'; '113.197.15.143'; '202.158.194.121'; '64.125.193.129'; '64.125.29.104'; '208.115.136.138'; '209.59.157.226'; '69.167.128.153'; '67.227.226.240'],[('10.127.5.17'; ['67.227.226.240']); ('192.168.43.194'; []); ('8.8.8.8'; ['67.227.226.240']); ('1.1.1.1'; ['67.227.226.240'])],,,,,,,,,
https://unblocked.to/,403,['172.67.149.130'; '104.21.33.203'],,5,['10.126.192.2'; '10.10.254.61'; '172.67.149.130'; '198.32.176.171'; '172.67.149.130'],[('10.127.5.17'; ['104.21.33.203'; '172.67.149.130']); ('192.168.43.194'; []); ('8.8.8.8'; ['172.67.149.130'; '104.21.33.203']); ('1.1.1.1'; ['104.21.33.203'; '172.67.149.130'])],,,,,,,,,
https://prostylex.org/,503,['172.67.223.35'; '104.21.46.35'],,4,['10.126.192.3'; '10.10.254.61'; '10.127.1.5'; '172.67.223.35'],[('10.127.5.17'; ['104.21.46.35'; '172.67.223.35']); ('192.168.43.194'; []); ('8.8.8.8'; ['104.21.46.35'; '172.67.223.35']); ('1.1.1.1'; ['172.67.223.35'; '104.21.46.35'])],,,,,,,,,
https://torrents.io,HTTPSConnectionPool(host='torrents.io'; port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x000001577FC81348>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed')),[Errno 11001] getaddrinfo failed,,1,['[Errno 11001] getaddrinfo failed'],[('10.127.5.17'; []); ('192.168.43.194'; []); ('8.8.8.8'; []); ('1.1.1.1'; [])],,,,,,,,,
https://katcr.co/,HTTPSConnectionPool(host='katcr.co'; port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x000001577FC1BA48>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed')),[Errno 11001] getaddrinfo failed,,1,['[Errno 11001] getaddrinfo failed'],[('10.127.5.17'; []); ('192.168.43.194'; []); ('8.8.8.8'; []); ('1.1.1.1'; [])],,,,,,,,,
https://katcr.to/,200,['104.21.64.163'; '172.67.152.196'],,4,['10.126.192.3'; '10.10.254.61'; '10.127.1.5'; '104.21.64.163'],[('10.127.5.17'; ['172.67.152.196'; '104.21.64.163']); ('192.168.43.194'; []); ('8.8.8.8'; ['104.21.64.163'; '172.67.152.196']); ('1.1.1.1'; ['172.67.152.196'; '104.21.64.163'])],,,,,,,,,
http://nocensor.surf/,HTTPSConnectionPool(host='nocensor.surf'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLError(1; '[SSL: WRONG_VERSION_NUMBER] wrong version number (_ssl.c:1076)'))),['72.52.178.23'],,12,['10.10.254.61'; '10.126.192.3'; '10.127.1.4'; '137.111.189.12'; '202.158.194.121'; '64.125.193.129'; '64.125.25.73'; '64.125.29.0'; '208.115.136.138'; '209.59.157.156'; '209.59.157.223'; '72.52.178.23'],[('10.127.5.17'; ['72.52.178.23']); ('192.168.43.194'; []); ('8.8.8.8'; ['72.52.178.23']); ('1.1.1.1'; ['72.52.178.23'])],,,,,,,,,
http://nocensor.surf/,HTTPSConnectionPool(host='nocensor.surf'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLError(1; '[SSL: WRONG_VERSION_NUMBER] wrong version number (_ssl.c:1076)'))),['72.52.178.23'],,10,['10.10.254.61'; '10.127.1.4'; '137.111.189.12'; '202.158.194.121'; '64.125.193.129'; '64.125.29.104'; '208.115.136.138'; '209.59.157.156'; '209.59.157.243'; '72.52.178.23'],72.52.178.23,,72.52.178.23,72.52.178.23,,,,,,
https://nocensor.casa/,"HTTPSConnectionPool(host='nocensor.casa'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(""hostname 'nocensor.casa' doesn't match either of '*.parkingcrew.net'; 'parkingcrew.net'"")))",['185.53.177.73'],,22,['10.126.192.3'; '10.10.254.61'; '10.127.1.5'; '113.197.15.143'; '202.158.194.121'; '198.104.202.61'; '154.54.11.9'; '154.54.5.90'; '154.54.42.166'; '154.54.6.222'; '154.54.2.198'; '154.54.31.226'; '154.54.41.206'; '154.54.44.161'; '154.54.77.245'; '130.117.0.122'; '154.54.56.222'; '154.54.36.54'; '154.25.8.22'; '149.6.156.195'; '185.53.177.73'; '154.54.41.146'],185.53.177.73,,185.53.177.73,185.53.177.73,,,,,,
http://nocensor.fun/,200,['103.224.182.208'],,9,['10.126.192.2'; '10.10.254.61'; '10.127.1.5'; '113.197.15.153'; '202.158.194.173'; '64.124.200.233'; '128.177.170.94'; '103.224.213.253'; '103.224.182.208'],103.224.182.208,,103.224.182.208,103.224.182.208,,,,,,
http://unblockproject.pw/,HTTPSConnectionPool(host='unblockproject.pw'; port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x000001A007F243C8>: Failed to establish a new connection: [WinError 10060] A connection attempt failed because the connected party did not properly respond after a period of time; or established connection failed because connected host has failed to respond')),['192.157.56.139'],,18,['10.126.192.3'; '10.10.254.61'; '10.127.1.7'; '137.111.189.12'; '138.44.5.105'; '113.197.15.3'; '113.197.15.42'; '113.197.15.45'; '113.197.15.247'; '202.126.129.213'; '202.84.219.174'; '202.84.225.238'; '202.84.219.174'; '89.149.185.197'; '78.152.57.111'; '192.227.179.162'; '183.182.80.169'; '192.157.56.139'],192.157.56.139,,162.210.196.168,185.107.56.54,,,,,,
http://nocensor.surf/,HTTPSConnectionPool(host='nocensor.surf'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLError(1; '[SSL: WRONG_VERSION_NUMBER] wrong version number (_ssl.c:1076)'))),['72.52.178.23'],,13,['10.126.192.3'; '10.127.1.4'; '10.10.254.61'; '138.44.5.105'; '113.197.15.143'; '137.111.189.12'; '202.158.194.121'; '64.125.193.129'; '64.125.29.104'; '208.115.136.138'; '209.59.157.156'; '209.59.157.243'; '72.52.178.23'],72.52.178.23,,72.52.178.23,72.52.178.23,404,NaN,404,404,,
https://nocensor.casa/,"HTTPSConnectionPool(host='nocensor.casa'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(""hostname 'nocensor.casa' doesn't match either of '*.parkingcrew.net'; 'parkingcrew.net'"")))",['185.53.177.73'],,23,['10.126.192.3'; '10.10.254.61'; '10.127.1.5'; '113.197.15.143'; '202.158.194.121'; '198.104.202.61'; '154.54.11.9'; '154.54.2.198'; '154.54.41.146'; '154.54.5.90'; '154.54.42.166'; '154.54.6.222'; '154.54.31.226'; '154.54.41.206'; '154.54.44.161'; '154.54.77.245'; '130.117.0.122'; '154.54.36.54'; '154.54.56.222'; '154.25.8.22'; '185.53.177.73'; '149.6.156.202'; '185.53.177.73'],185.53.177.73,,185.53.177.73,185.53.177.73,412,NaN,412,412,,
http://nocensor.fun/,200,['103.224.182.208'],,9,['10.126.192.2'; '10.10.254.61'; '10.127.1.5'; '113.197.15.153'; '202.158.194.173'; '64.124.200.233'; '128.177.170.94'; '103.224.213.253'; '103.224.182.208'],103.224.182.208,,103.224.182.208,103.224.182.208,200,NaN,200,200,,
