Domain,Response Code,DNS Server,DNS Resolved Ips,DNS IP Response Codes,Traceroute to domain,Number of hops to domain,AARC DNS Ips,Optus DNS Ips,Google DNS Ips,Cloudflare DNS Ips,AARC DNS Response Codes,Optus DNS Response Codes,Google DNS Response Codes,Cloudflare DNS Response Codes,Domain Blockpage,AARC Blockpage,Optus Blockpage,Google Blockpage,Cloudflare Blockpage,Domain Cloudflare IP Blocked,AARC Cloudflare IP Blocked,Optus Cloudflare IP Blocked,Google Cloudflare IP Blocked,Cloudflare Cloudflare IP Blocked,Default DNS Block Page,Default DNS Cloudflare Block Page
"https://azm.to/","HTTPSConnectionPool(host='azm.to'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1108)')))","10.18.0.1","['101.167.164.53', '101.167.166.53']","[200, 200]","['10.0.0.138', '58.162.26.77', '203.50.61.67', '203.50.11.95', '203.50.61.80', '203.50.61.66', '139.130.34.250', '61.9.173.4', '101.167.166.53']","9","[]","[]","['185.178.208.165']","['185.178.208.165']","[]","[]","[503]","[503]","Block N/A","[]","[]","['False']","['False']","Cloudflare N/A","[]","[]","['False']","['False']","['False', 'False']","['False', 'False']"
"https://putlocker-is.org/","200","10.18.0.1","['172.67.213.32', '104.21.53.135']","[403, 403]","['10.0.0.138', '203.50.61.80', '203.50.61.81', '58.162.26.77', '203.50.13.133', '203.50.13.125', '203.50.6.230', '203.50.6.235', '203.50.9.2', '202.84.224.190', '162.158.104.5', '210.57.38.181', '172.67.213.32']","13","[]","[]","['104.21.53.135', '172.67.213.32']","['172.67.213.32', '104.21.53.135']","[]","[]","[403, 403]","[403, 403]","False","[]","[]","['False', 'False']","['False', 'False']","False","[]","[]","['True', 'True']","['True', 'True']","['False', 'False']","['True', 'True']"
"https://www1.f123movies.com/","200","10.18.0.1","['172.67.172.25', '104.21.55.179']","[403, 403]","['10.0.0.138', '203.50.61.81', '203.50.61.80', '58.162.26.77', '203.50.13.133', '203.50.13.125', '203.50.6.230', '203.50.9.2', '203.50.6.235', '202.84.224.190', '172.67.172.25', '210.57.38.181', '172.70.140.5', '172.67.172.25']","14","[]","[]","['172.67.172.25', '104.21.55.179']","['104.21.55.179', '172.67.172.25']","[]","[]","[403, 403]","[403, 403]","False","[]","[]","['False', 'False']","['False', 'False']","False","[]","[]","['True', 'True']","['True', 'True']","['False', 'False']","['True', 'True']"
"https://popcorntime.co/","200","10.18.0.1","['104.21.33.7', '172.67.188.107']","[403, 403]","['10.0.0.138', '203.50.61.80', '203.50.61.66', '58.162.26.77', '203.50.61.67', '203.50.13.133', '203.50.13.125', '203.50.6.230', '203.50.6.235', '203.50.9.2', '202.84.224.190', '210.57.38.181', '104.21.33.7', '162.158.116.5', '104.21.33.7']","15","[]","[]","['172.67.188.107', '104.21.33.7']","['104.21.33.7', '172.67.188.107']","[]","[]","[403, 403]","[403, 403]","False","[]","[]","['False', 'False']","['False', 'False']","False","[]","[]","['True', 'True']","['True', 'True']","['False', 'False']","['True', 'True']"
"https://www5.himovies.to/","HTTPSConnectionPool(host='www5.himovies.to'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1108)')))","10.18.0.1","['101.167.164.53', '101.167.166.53']","[200, 200]","['10.0.0.138', '58.162.26.77', '203.50.61.67', '203.50.61.66', '203.50.61.64', '203.50.11.177', '139.130.6.102', '61.9.172.4', '101.167.164.53']","9","[]","[]","['172.67.215.96', '104.21.78.31']","['104.21.78.31', '172.67.215.96']","[]","[]","[403, 403]","[403, 403]","Block N/A","[]","[]","['False', 'False']","['False', 'False']","Cloudflare N/A","[]","[]","['True', 'True']","['True', 'True']","['False', 'False']","['False', 'False']"
"https://ww4.solarmovie.to/","HTTPSConnectionPool(host='ww4.solarmovie.to'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1108)')))","10.18.0.1","['101.167.166.53', '101.167.164.53']","[200, 200]","['10.0.0.138', '203.50.61.66', '203.50.11.95', '203.50.61.80', '203.50.61.67', '139.130.34.250', '61.9.173.4', '58.162.26.77', '101.167.166.53']","9","[]","[]","['104.21.19.112', '172.67.186.2']","['172.67.186.2', '104.21.19.112']","[]","[]","[403, 403]","[403, 403]","Block N/A","[]","[]","['False', 'False']","['False', 'False']","Cloudflare N/A","[]","[]","['True', 'True']","['True', 'True']","['False', 'False']","['False', 'False']"
"https://gogostream.co/","200","10.18.0.1","['104.21.91.96', '172.67.214.236']","[403, 403]","['10.0.0.138', '203.50.61.66', '203.50.61.67', '203.50.61.80', '58.162.26.77', '203.50.13.125', '203.50.13.133', '203.50.6.230', '203.50.6.235', '203.50.9.2', '202.84.224.190', '210.57.38.181', '104.21.91.96', '162.158.104.5', '104.21.91.96']","15","[]","[]","['104.21.91.96', '172.67.214.236']","['104.21.91.96', '172.67.214.236']","[]","[]","[403, 403]","[403, 403]","False","[]","[]","['False', 'False']","['False', 'False']","False","[]","[]","['True', 'True']","['True', 'True']","['False', 'False']","['True', 'True']"
"https://www1.123moviesgo.ac/","HTTPSConnectionPool(host='www1.123moviesgo.ac'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1108)')))","10.18.0.1","['101.167.164.53', '101.167.166.53']","[200, 200]","['10.0.0.138', '58.162.26.77', '203.50.61.67', '203.50.61.66', '203.50.11.177', '203.50.61.64', '139.130.6.102', '61.9.172.4', '101.167.164.53']","9","[]","[]","['172.67.200.59', '104.21.68.236']","['104.21.68.236', '172.67.200.59']","[]","[]","[403, 403]","[403, 403]","Block N/A","[]","[]","['False', 'False']","['False', 'False']","Cloudflare N/A","[]","[]","['True', 'True']","['True', 'True']","['False', 'False']","['False', 'False']"
"https://ww1.streamm4u.com/","HTTPSConnectionPool(host='ww1.streamm4u.com'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1108)')))","10.18.0.1","['101.167.166.53', '101.167.164.53']","[200, 200]","['10.0.0.138', '203.50.61.66', '203.50.61.80', '203.50.11.95', '139.130.34.250', '58.162.26.77', '61.9.173.4', '101.167.166.53', '203.50.61.67']","9","[]","[]","['172.64.171.29', '172.64.170.29']","['172.64.170.29', '172.64.171.29']","[]","[]","[403, 403]","[403, 403]","Block N/A","[]","[]","['False', 'False']","['False', 'False']","Cloudflare N/A","[]","[]","['True', 'True']","['True', 'True']","['False', 'False']","['False', 'False']"
"https://moviesjoy.to/","HTTPSConnectionPool(host='moviesjoy.to'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1108)')))","10.18.0.1","['101.167.164.53', '101.167.166.53']","[200, 200]","['10.0.0.138', '203.50.61.66', '203.50.61.67', '203.50.61.80', '139.130.34.250', '203.50.11.95', '61.9.173.4', '58.162.26.77', '101.167.166.53']","9","[]","[]","['104.31.16.5', '104.31.16.124']","['104.31.16.5', '104.31.16.124']","[]","[]","[403, 403]","[403, 403]","Block N/A","[]","[]","['False', 'False']","['False', 'False']","Cloudflare N/A","[]","[]","['True', 'True']","['True', 'True']","['False', 'False']","['False', 'False']"
"https://spacemov.site/","403","10.18.0.1","['172.67.189.223', '104.21.10.30']","[403, 403]","['10.0.0.138', '203.50.61.81', '203.50.61.80', '203.50.13.133', '203.50.13.125', '58.162.26.77', '203.50.6.230', '203.50.6.235', '203.50.9.2', '202.84.140.38', '202.84.224.190', '162.158.116.5', '210.57.38.181', '172.67.189.223']","14","[]","[]","['104.21.10.30', '172.67.189.223']","['104.21.10.30', '172.67.189.223']","[]","[]","[403, 403]","[403, 403]","False","[]","[]","['False', 'False']","['False', 'False']","False","[]","[]","['True', 'True']","['True', 'True']","['False', 'False']","['True', 'True']"
"https://fmovies.to/","HTTPSConnectionPool(host='fmovies.to'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1108)')))","10.18.0.1","['101.167.166.53', '101.167.164.53']","[200, 200]","['10.0.0.138', '203.50.61.66', '203.50.11.177', '203.50.61.64', '58.162.26.77', '139.130.6.102', '61.9.172.4', '101.167.164.53', '203.50.61.67']","9","[]","[]","['104.31.16.10', '104.31.16.119']","['104.31.16.119', '104.31.16.10']","[]","[]","[403, 403]","[403, 403]","Block N/A","[]","[]","['False', 'False']","['False', 'False']","Cloudflare N/A","[]","[]","['True', 'True']","['True', 'True']","['False', 'False']","['False', 'False']"
"https://123chill.to/","HTTPSConnectionPool(host='123chill.to'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1108)')))","10.18.0.1","['101.167.166.53', '101.167.164.53']","[200, 200]","['10.0.0.138', '203.50.61.66', '58.162.26.77', '203.50.61.67', '203.50.61.80', '203.50.11.95', '139.130.34.250', '61.9.173.4', '101.167.166.53']","9","[]","[]","['104.21.81.83', '172.67.140.231']","['172.67.140.231', '104.21.81.83']","[]","[]","[403, 403]","[403, 403]","Block N/A","[]","[]","['False', 'False']","['False', 'False']","Cloudflare N/A","[]","[]","['True', 'True']","['True', 'True']","['False', 'False']","['False', 'False']"
"https://streamlord.to/","200","10.18.0.1","['172.67.133.188', '104.21.14.12']","[403, 403]","['10.0.0.138', '203.50.61.81', '203.50.61.80', '58.162.26.77', '203.50.13.133', '203.50.13.125', '203.50.6.230', '203.50.6.235', '203.50.9.2', '172.70.144.5', '202.84.140.38', '172.67.133.188', '202.84.224.190', '172.67.133.188']","14","[]","[]","['104.21.14.12', '172.67.133.188']","['172.67.133.188', '104.21.14.12']","[]","[]","[403, 403]","[403, 403]","False","[]","[]","['False', 'False']","['False', 'False']","False","[]","[]","['True', 'True']","['True', 'True']","['False', 'False']","['True', 'True']"
"https://flixtor.to/home","HTTPSConnectionPool(host='flixtor.to'; port=443): Max retries exceeded with url: /home (Caused by SSLError(SSLCertVerificationError(1; '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1108)')))","10.18.0.1","['Errno11001getaddrinfofailed']","[""HTTPConnectionPool(host='errno11001getaddrinfofailed'; port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x0187E028>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))""]","[""invalid literal for int() with base 10: 'home'""]","1","[]","[]","[]","[]","[]","[]","[]","[]","Block N/A","[]","[]","[]","[]","Cloudflare N/A","[]","[]","[]","[]","['False']","['False']"
"https://w5.yesmovies123.me/","HTTPSConnectionPool(host='w5.yesmovies123.me'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1108)')))","10.18.0.1","['101.167.164.53', '101.167.166.53']","[200, 200]","['10.0.0.138', '203.50.61.66', '58.162.26.77', '203.50.61.67', '203.50.11.95', '203.50.61.80', '139.130.34.250', '61.9.173.4', '101.167.166.53']","9","[]","[]","['104.21.7.103', '172.67.130.28']","['104.21.7.103', '172.67.130.28']","[]","[]","[403, 403]","[403, 403]","Block N/A","[]","[]","['False', 'False']","['False', 'False']","Cloudflare N/A","[]","[]","['True', 'True']","['True', 'True']","['False', 'False']","['False', 'False']"
"https://filmrise.com/","200","10.18.0.1","['198.12.156.233']","[200]","['10.0.0.138', '58.162.26.77', '203.50.61.80', '203.50.13.146', '203.50.61.81', '203.50.6.61', '203.50.13.90', '203.50.13.90', '202.84.222.133', '202.84.222.133', '202.84.136.157', '148.72.34.34', '148.72.32.67', '202.84.253.86', '202.84.136.157']","15","[]","[]","['198.12.156.233']","['198.12.156.233']","[]","[]","[200]","[200]","False","[]","[]","['False']","['False']","False","[]","[]","['False']","['False']","['False']","['False']"
"https://primewire.mx/","HTTPSConnectionPool(host='primewire.mx'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1108)')))","10.18.0.1","['101.167.166.53', '101.167.164.53']","[200, 200]","['10.0.0.138', '203.50.61.66', '203.50.61.67', '203.50.11.95', '203.50.61.80', '139.130.34.250', '61.9.173.4', '101.167.166.53', '58.162.26.77']","9","[]","[]","['104.21.76.232', '172.67.202.18']","['172.67.202.18', '104.21.76.232']","[]","[]","[403, 403]","[403, 403]","Block N/A","[]","[]","['False', 'False']","['False', 'False']","Cloudflare N/A","[]","[]","['True', 'True']","['True', 'True']","['False', 'False']","['False', 'False']"
"https://www.popcornflix.com/","200","10.18.0.1","['13.227.254.38', '13.227.254.107', '13.227.254.50', '13.227.254.28']","[403, 403, 403, 403]","['10.0.0.138', '203.50.61.66', '203.50.61.67', '203.50.61.80', '58.162.26.77', '203.50.13.133', '203.50.13.125', '203.50.6.230', '203.50.6.235', '203.50.9.2', '202.84.244.41', '13.227.254.50']","12","[]","[]","['13.227.254.38', '13.227.254.107', '13.227.254.28', '13.227.254.50']","['13.227.254.38', '13.227.254.107', '13.227.254.28', '13.227.254.50']","[]","[]","[403, 403, 403, 403]","[403, 403, 403, 403]","False","[]","[]","['False', 'False', 'False', 'False']","['False', 'False', 'False', 'False']","False","[]","[]","['False', 'False', 'False', 'False']","['False', 'False', 'False', 'False']","['False', 'False', 'False', 'False']","['False', 'False', 'False', 'False']"
"https://vumoo.to/","HTTPSConnectionPool(host='vumoo.to'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1108)')))","10.18.0.1","['101.167.166.53', '101.167.164.53']","[200, 200]","['10.0.0.138', '203.50.61.66', '203.50.61.67', '58.162.26.77', '203.50.11.95', '203.50.61.80', '139.130.34.250', '61.9.173.4', '101.167.166.53']","9","[]","[]","['104.31.16.6', '104.31.16.123']","['104.31.16.123', '104.31.16.6']","[]","[]","[403, 403]","[403, 403]","Block N/A","[]","[]","['False', 'False']","['False', 'False']","Cloudflare N/A","[]","[]","['True', 'True']","['True', 'True']","['False', 'False']","['False', 'False']"
"https://sflix.to/","HTTPSConnectionPool(host='sflix.to'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1108)')))","10.18.0.1","['101.167.164.53', '101.167.166.53']","[200, 200]","['10.0.0.138', '203.50.61.67', '203.50.61.66', '203.50.11.177', '58.162.26.77', '139.130.6.102', '203.50.61.64', '61.9.172.4', '101.167.164.53']","9","[]","[]","['104.31.16.7', '104.31.16.122']","['104.31.16.122', '104.31.16.7']","[]","[]","[403, 403]","[403, 403]","Block N/A","[]","[]","['False', 'False']","['False', 'False']","Cloudflare N/A","[]","[]","['True', 'True']","['True', 'True']","['False', 'False']","['False', 'False']"
"https://vexmovies.pw/","200","10.18.0.1","['172.67.188.44', '104.21.81.46']","[403, 403]","['10.0.0.138', '58.162.26.77', '203.50.61.66', '203.50.61.80', '203.50.61.67', '203.50.13.133', '203.50.13.125', '203.50.6.230', '203.50.6.235', '203.50.9.2', '172.67.188.44', '210.57.38.181', '162.158.168.4', '202.84.224.190', '172.67.188.44']","15","[]","[]","['172.67.188.44', '104.21.81.46']","['104.21.81.46', '172.67.188.44']","[]","[]","[403, 403]","[403, 403]","False","[]","[]","['False', 'False']","['False', 'False']","False","[]","[]","['True', 'True']","['True', 'True']","['False', 'False']","['True', 'True']"
